PassengerId,Survived,Pclass,Sex_num,Age_filled,Fare_capped,FamilySize,IsAlone,Age_z,Fare_z,FamilySize_z,Embarked_filled_C,Embarked_filled_NAN,Embarked_filled_Q,Embarked_filled_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Title_the Countess,Cabin_deck_A,Cabin_deck_B,Cabin_deck_C,Cabin_deck_D,Cabin_deck_E,Cabin_deck_F,Cabin_deck_G,Cabin_deck_T,Cabin_deck_U,AgeBin_0-10,AgeBin_11-20,AgeBin_21-30,AgeBin_31-40,AgeBin_41-50,AgeBin_51-60,AgeBin_60+
12,1,1,0,58.0,26.55,1,1,2.200857898491608,0.12228485737999564,-0.5609748304808925,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
13,0,3,1,20.0,8.05,1,1,-0.719436147717457,-0.7814711077429595,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
14,0,3,1,39.0,31.275,7,0,0.7407108753870755,0.35310901603977735,3.1598334123861687,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
15,0,3,0,14.0,7.8542,1,1,-1.180535207645204,-0.7910362654711258,-0.5609748304808925,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
16,1,2,0,55.0,16.0,1,1,1.9703083685277343,-0.393100301109041,-0.5609748304808925,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
17,0,3,1,2.0,29.125,6,0,-2.1027333275006983,0.24807791739035287,2.5396987052416584,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
18,1,2,1,28.0,13.0,1,1,-0.10463740114712752,-0.539655322480331,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
19,0,3,0,31.0,18.0,2,0,0.12591212881674602,-0.29539695352818096,0.059159876663617626,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
20,1,3,0,28.0,7.225,1,1,-0.10463740114712752,-0.8217737386200644,-0.5609748304808925,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
21,0,2,1,35.0,26.0,1,1,0.4333115021019107,0.0954164367952591,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
22,1,2,1,34.0,13.0,1,1,0.35646165878061953,-0.539655322480331,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
23,1,3,0,15.0,8.0292,1,1,-1.1036853643239128,-0.7824872225578006,-0.5609748304808925,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
24,1,1,1,28.0,35.5,1,1,-0.10463740114712752,0.5595073378043441,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,0,3,0,8.0,21.075,5,0,-1.6416342675729512,-0.14517805662260871,1.9195639980971482,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
26,1,3,0,38.0,31.3875,7,0,0.6638610320657843,0.35860482934120075,3.1598334123861687,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
27,0,3,1,28.0,7.225,1,1,-0.10463740114712752,-0.8217737386200644,-0.5609748304808925,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
28,0,1,1,19.0,65.6344,6,0,-0.7962859910387481,2.0316232164746784,2.5396987052416584,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
29,1,3,0,28.0,7.8792,1,1,-0.10463740114712752,-0.789814973626365,-0.5609748304808925,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
30,0,3,1,28.0,7.8958,1,1,-0.10463740114712752,-0.7890040358414437,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
31,0,1,1,40.0,27.7208,1,1,0.8175607187083667,0.1794803970538311,-0.5609748304808925,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
32,1,1,0,28.0,65.6344,2,0,-0.10463740114712752,2.0316232164746784,0.059159876663617626,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,1,3,0,28.0,7.75,1,1,-0.10463740114712752,-0.7961266098800885,-0.5609748304808925,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
34,0,2,1,66.0,10.5,1,1,2.8156566450619374,-0.661784506956406,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
35,0,1,1,28.0,65.6344,2,0,-0.10463740114712752,2.0316232164746784,0.059159876663617626,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
36,0,1,1,42.0,52.0,2,0,0.9712604053509489,1.3655599553464393,0.059159876663617626,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
37,1,3,1,28.0,7.2292,1,1,-0.10463740114712752,-0.8215685615901446,-0.5609748304808925,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
38,0,3,1,21.0,8.05,1,1,-0.6425863043961658,-0.7814711077429595,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
39,0,3,0,18.0,18.0,3,0,-0.8731358343600393,-0.29539695352818096,0.6792945838081278,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
40,1,3,0,14.0,11.2417,2,0,-1.180535207645204,-0.6255512205060441,0.059159876663617626,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
41,0,3,0,40.0,9.475,2,0,0.8175607187083667,-0.7118574725915968,0.059159876663617626,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
42,0,2,0,27.0,21.0,2,0,-0.1814872444684187,-0.14884193215689093,0.059159876663617626,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
43,0,3,1,28.0,7.8958,1,1,-0.10463740114712752,-0.7890040358414437,-0.5609748304808925,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
44,1,2,0,3.0,41.5792,4,0,-2.025883484179407,0.8564864331111263,1.299429290952638,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
45,1,3,0,19.0,7.8792,1,1,-0.7962859910387481,-0.789814973626365,-0.5609748304808925,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
46,0,3,1,28.0,8.05,1,1,-0.10463740114712752,-0.7814711077429595,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
47,0,3,1,28.0,15.5,2,0,-0.10463740114712752,-0.417526138004256,0.059159876663617626,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
48,1,3,0,28.0,7.75,1,1,-0.10463740114712752,-0.7961266098800885,-0.5609748304808925,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
49,0,3,1,28.0,21.6792,3,0,-0.10463740114712752,-0.1156618753184308,0.6792945838081278,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
50,0,3,0,18.0,17.8,2,0,-0.8731358343600393,-0.30516728828626694,0.059159876663617626,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
51,0,3,1,7.0,39.6875,6,0,-1.7184841108942424,0.7640737218017698,2.5396987052416584,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
52,0,3,1,21.0,7.8,1,1,-0.6425863043961658,-0.793684026190567,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
53,1,1,0,49.0,65.6344,2,0,1.5092093085999871,2.0316232164746784,0.059159876663617626,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
54,1,2,0,29.0,26.0,2,0,-0.027787557825836348,0.0954164367952591,0.059159876663617626,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
55,0,1,1,65.0,61.9792,2,0,2.738806801740646,1.8530605784358982,0.059159876663617626,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,1,1,1,28.0,35.5,1,1,-0.10463740114712752,0.5595073378043441,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
57,1,2,0,21.0,10.5,1,1,-0.6425863043961658,-0.661784506956406,-0.5609748304808925,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
58,0,3,1,28.5,7.2292,1,1,-0.06621247948648194,-0.8215685615901446,-0.5609748304808925,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
59,1,2,0,5.0,27.75,4,0,-1.8721837975368247,0.18090686592851163,1.299429290952638,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
60,0,3,1,11.0,46.9,8,0,-1.4110847376090776,1.1164164190152461,3.779968119530679,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
61,0,3,1,22.0,7.2292,1,1,-0.5657364610748746,-0.8215685615901446,-0.5609748304808925,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
62,1,1,0,38.0,65.6344,1,1,0.6638610320657843,2.0316232164746784,-0.5609748304808925,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63,0,1,1,45.0,65.6344,2,0,1.2018099353148226,2.0316232164746784,0.059159876663617626,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
64,0,3,1,4.0,27.9,6,0,-1.949033640858116,0.18823461699707605,2.5396987052416584,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
65,0,1,1,28.0,27.7208,1,1,-0.10463740114712752,0.1794803970538311,-0.5609748304808925,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66,1,3,1,28.0,15.2458,3,0,-0.10463740114712752,-0.42994423348178334,0.6792945838081278,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
67,1,2,0,29.0,10.5,1,1,-0.027787557825836348,-0.661784506956406,-0.5609748304808925,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
68,0,3,1,19.0,8.1583,1,1,-0.7962859910387481,-0.776180471471456,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
69,1,3,0,17.0,7.925,7,0,-0.9499856776813305,-0.7875775669667633,3.1598334123861687,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
70,0,3,1,26.0,8.6625,3,0,-0.2583370877897099,-0.7515494575463212,0.6792945838081278,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
71,0,2,1,32.0,10.5,1,1,0.20276197213803718,-0.661784506956406,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
72,0,3,0,16.0,46.9,8,0,-1.0268355210026217,1.1164164190152461,3.779968119530679,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
73,0,2,1,21.0,65.6344,1,1,-0.6425863043961658,2.0316232164746784,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
74,0,3,1,26.0,14.4542,2,0,-0.2583370877897099,-0.46861521845428766,0.059159876663617626,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
75,1,3,1,32.0,56.4958,1,1,0.20276197213803718,1.5851873103734548,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
76,0,3,1,25.0,7.65,1,1,-0.33518693111100106,-0.8010117772591314,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
77,0,3,1,28.0,7.8958,1,1,-0.10463740114712752,-0.7890040358414437,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
78,0,3,1,28.0,8.05,1,1,-0.10463740114712752,-0.7814711077429595,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
79,1,2,1,0.83,29.0,3,0,-2.192647644186609,0.24197145816654914,0.6792945838081278,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
80,1,3,0,30.0,12.475,1,1,0.04906228549545483,-0.5653024512203068,-0.5609748304808925,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
81,0,3,1,22.0,9.0,1,1,-0.5657364610748746,-0.735062017642051,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
82,1,3,1,29.0,9.5,1,1,-0.027787557825836348,-0.710636180746836,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
83,1,3,0,28.0,7.7875,1,1,-0.10463740114712752,-0.7942946721129476,-0.5609748304808925,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
84,0,1,1,28.0,47.1,1,1,-0.10463740114712752,1.1261867537733323,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
85,1,2,0,17.0,10.5,1,1,-0.9499856776813305,-0.661784506956406,-0.5609748304808925,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
86,1,3,0,33.0,15.85,4,0,0.27961181545932834,-0.4004280521776055,1.299429290952638,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
87,0,3,1,16.0,34.375,5,0,-1.0268355210026217,0.5045492047901105,1.9195639980971482,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
88,0,3,1,28.0,8.05,1,1,-0.10463740114712752,-0.7814711077429595,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
89,1,1,0,23.0,65.6344,6,0,-0.48888661775358344,2.0316232164746784,2.5396987052416584,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
90,0,3,1,24.0,8.05,1,1,-0.41203677443229225,-0.7814711077429595,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
91,0,3,1,29.0,8.05,1,1,-0.027787557825836348,-0.7814711077429595,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
92,0,3,1,20.0,7.8542,1,1,-0.719436147717457,-0.7910362654711258,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
93,0,1,1,46.0,61.175,2,0,1.2786597786361138,1.8137740623736347,0.059159876663617626,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
94,0,3,1,26.0,20.575,4,0,-0.2583370877897099,-0.16960389351782373,1.299429290952638,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
95,0,3,1,59.0,7.25,1,1,2.277707741812899,-0.8205524467753036,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
96,0,3,1,28.0,8.05,1,1,-0.10463740114712752,-0.7814711077429595,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
97,0,1,1,71.0,34.6542,1,1,3.1999058616683933,0.5181885921123986,-0.5609748304808925,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98,1,1,1,23.0,63.3583,2,0,-0.48888661775358344,1.9204319217602805,0.059159876663617626,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
99,1,2,0,34.0,23.0,2,0,0.35646165878061953,-0.051138584576030925,0.059159876663617626,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
100,0,2,1,34.0,26.0,2,0,0.35646165878061953,0.0954164367952591,0.059159876663617626,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
101,0,3,0,28.0,7.8958,1,1,-0.10463740114712752,-0.7890040358414437,-0.5609748304808925,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
102,0,3,1,28.0,7.8958,1,1,-0.10463740114712752,-0.7890040358414437,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
103,0,1,1,21.0,65.6344,2,0,-0.6425863043961658,2.0316232164746784,0.059159876663617626,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
104,0,3,1,33.0,8.6542,1,1,0.27961181545932834,-0.7519549264387818,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
105,0,3,1,37.0,7.925,3,0,0.5870111887444931,-0.7875775669667633,0.6792945838081278,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
106,0,3,1,28.0,7.8958,1,1,-0.10463740114712752,-0.7890040358414437,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
107,1,3,0,21.0,7.65,1,1,-0.6425863043961658,-0.8010117772591314,-0.5609748304808925,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
108,1,3,1,28.0,7.775,1,1,-0.10463740114712752,-0.7949053180353277,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
109,0,3,1,38.0,7.8958,1,1,0.6638610320657843,-0.7890040358414437,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
110,1,3,0,28.0,24.15,2,0,-0.10463740114712752,0.005040840282963516,0.059159876663617626,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
111,0,1,1,47.0,52.0,1,1,1.3555096219574048,1.3655599553464393,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
112,0,3,0,14.5,14.4542,2,0,-1.1421102859845584,-0.46861521845428766,0.059159876663617626,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
113,0,3,1,22.0,8.05,1,1,-0.5657364610748746,-0.7814711077429595,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
114,0,3,0,20.0,9.825,2,0,-0.719436147717457,-0.6947593867649463,0.059159876663617626,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
115,0,3,0,17.0,14.4583,1,1,-0.9499856776813305,-0.46841492659174694,-0.5609748304808925,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
116,0,3,1,21.0,7.925,1,1,-0.6425863043961658,-0.7875775669667633,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
117,0,3,1,70.5,7.75,1,1,3.1614809400077477,-0.7961266098800885,-0.5609748304808925,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
118,0,2,1,29.0,21.0,2,0,-0.027787557825836348,-0.14884193215689093,0.059159876663617626,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
119,0,1,1,24.0,65.6344,2,0,-0.41203677443229225,2.0316232164746784,0.059159876663617626,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120,0,3,0,2.0,31.275,7,0,-2.1027333275006983,0.35310901603977735,3.1598334123861687,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
121,0,2,1,21.0,65.6344,3,0,-0.6425863043961658,2.0316232164746784,0.6792945838081278,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
122,0,3,1,28.0,8.05,1,1,-0.10463740114712752,-0.7814711077429595,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
123,0,2,1,32.5,30.0708,2,0,0.24118689379868277,0.2942818304613415,0.059159876663617626,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
124,1,2,0,32.5,13.0,1,1,0.24118689379868277,-0.539655322480331,-0.5609748304808925,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
125,0,1,1,54.0,65.6344,2,0,1.893458525206443,2.0316232164746784,0.059159876663617626,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
126,1,3,1,12.0,11.2417,2,0,-1.3342348942877864,-0.6255512205060441,0.059159876663617626,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
127,0,3,1,28.0,7.75,1,1,-0.10463740114712752,-0.7961266098800885,-0.5609748304808925,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
128,1,3,1,24.0,7.1417,1,1,-0.41203677443229225,-0.8258430830468071,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
129,1,3,0,28.0,22.3583,3,0,-0.10463740114712752,-0.08248670364734986,0.6792945838081278,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
130,0,3,1,45.0,6.975,1,1,1.2018099353148226,-0.8339866570676719,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
131,0,3,1,33.0,7.8958,1,1,0.27961181545932834,-0.7890040358414437,-0.5609748304808925,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
132,0,3,1,20.0,7.05,1,1,-0.719436147717457,-0.8303227815333896,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
